ERR6894804	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894804_output.tar.gz	ERR6894804	SAMEA9988320	OXFORD_NANOPORE
ERR6894805	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894805_output.tar.gz	ERR6894805	SAMEA9988321	OXFORD_NANOPORE
ERR6894807	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894807_output.tar.gz	ERR6894807	SAMEA9988323	OXFORD_NANOPORE
ERR6894808	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894808_output.tar.gz	ERR6894808	SAMEA9988324	OXFORD_NANOPORE
ERR6894810	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894810_output.tar.gz	ERR6894810	SAMEA9988326	OXFORD_NANOPORE
ERR6894811	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894811_output.tar.gz	ERR6894811	SAMEA9988327	OXFORD_NANOPORE
ERR6894812	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894812_output.tar.gz	ERR6894812	SAMEA9988328	OXFORD_NANOPORE
ERR6894813	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894813_output.tar.gz	ERR6894813	SAMEA9988329	OXFORD_NANOPORE
ERR6894814	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894814_output.tar.gz	ERR6894814	SAMEA9988330	OXFORD_NANOPORE
ERR6894815	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894815_output.tar.gz	ERR6894815	SAMEA9988331	OXFORD_NANOPORE
ERR6894819	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894819_output.tar.gz	ERR6894819	SAMEA9988335	OXFORD_NANOPORE
ERR6894821	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894821_output.tar.gz	ERR6894821	SAMEA9988337	OXFORD_NANOPORE
ERR6894822	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894822_output.tar.gz	ERR6894822	SAMEA9988338	OXFORD_NANOPORE
ERR6894823	gs://prj-int-dev-covid19-nf-gls/2021-12-13/nanopore_0/results/ERR6894823_output.tar.gz	ERR6894823	SAMEA9988339	OXFORD_NANOPORE
